Date,AAPL,ABT,ADI,AMGN,AXP,BA,BAC,BAX,BMY,C,CAT,CL,CLX,CSCO,EMR,ETN,FDX,GE,GILD,GIS,GLW,GS,HON,HPQ,IBM,INTC,ITW,JNJ,JPM,KO,LLY,MDT,MET,MKC,MMM,MS,MSFT,PEP,PFE,PG,PNC,QCOM,SYY,TXN,UNH,UPS,USB,WFC,WMT
2020-06-10,85.4073715209961,82.656982421875,111.18262481689453,188.70152282714844,98.40591430664062,203.41000366210938,23.134992599487305,77.52985382080078,47.71629333496094,45.23957824707031,118.30496215820312,64.55370330810547,171.1809844970703,39.796634674072266,58.108890533447266,82.85830688476562,125.7706298828125,36.872989654541016,61.34630584716797,50.400390625,23.918100357055664,186.46177673339844,128.4814910888672,13.780130386352539,96.9458236694336,56.936466217041016,151.70179748535156,125.83384704589844,90.52886199951172,40.52211380004883,141.39195251464844,81.89828491210938,32.55819320678711,76.26524353027344,111.48278045654297,40.47663497924805,187.50039672851562,112.33015441894531,25.32660675048828,102.4678955078125,95.68588256835938,80.4166259765625,48.61594009399414,111.11627197265625,276.3111572265625,84.4924087524414,30.405620574951172,25.972652435302734,37.29420471191406
2020-06-11,81.30695343017578,78.72859954833984,104.64087677001953,181.87197875976562,91.39810943603516,170.0,20.812793731689453,74.61044311523438,44.97990798950195,39.18982696533203,108.57720947265625,63.459869384765625,169.2239227294922,36.64949035644531,53.32823181152344,76.68762969970703,115.38827514648438,33.67507553100586,58.495399475097656,48.63421630859375,22.45810890197754,169.5289306640625,119.57815551757812,12.776603698730469,88.092529296875,53.219154357910156,143.59072875976562,119.93375396728516,82.974853515625,37.95510482788086,134.91224670410156,76.29005432128906,29.615589141845703,74.2436752319336,103.64701843261719,37.05162048339844,177.4319305419922,107.06245422363281,23.479286193847656,99.91543579101562,86.49783325195312,74.24022674560547,45.52786636352539,105.3744125366211,256.4113464355469,79.61128997802734,27.946563720703125,23.419973373413086,36.964847564697266
2020-06-12,82.0089111328125,79.84072875976562,107.13814544677734,181.04112243652344,94.2531509399414,189.50999450683594,21.552072525024414,74.96755981445312,44.55160903930664,42.31594467163086,110.00645446777344,63.19075393676758,169.3807830810547,37.82443618774414,54.11322784423828,77.48035430908203,118.89085388183594,35.1286735534668,58.78452682495117,48.289005279541016,23.12799072265625,176.20948791503906,120.47015380859375,13.282447814941406,91.00379943847656,52.88931655883789,143.3907928466797,121.02354431152344,85.24531555175781,38.35037612915039,134.40664672851562,78.25463104248047,30.86846351623535,73.66862487792969,105.34066772460938,38.47317123413086,178.8321075439453,108.0339584350586,23.79657745361328,99.36540985107422,89.1126480102539,75.3182144165039,46.28709030151367,104.83321380615234,257.6947021484375,80.41161346435547,29.005966186523438,24.451536178588867,36.24150085449219
2020-06-15,83.02311706542969,80.31609344482422,107.21958923339844,182.60313415527344,96.35733032226562,190.94000244140625,21.873870849609375,74.79792785644531,43.70293426513672,42.90713882446289,110.41736602783203,63.27757263183594,171.78378295898438,38.059410095214844,54.924720764160156,78.09294128417969,119.7508544921875,35.08022689819336,59.40287780761719,48.86702346801758,23.291168212890625,180.16543579101562,122.23750305175781,13.763814926147461,90.8097152709961,53.57572937011719,143.39947509765625,120.2573013305664,86.42322540283203,38.939090728759766,132.51513671875,78.5988540649414,31.37950325012207,75.37611389160156,107.28600311279297,39.404239654541016,179.97523498535156,109.27339935302734,23.52159309387207,100.28498840332031,90.8907241821289,76.33436584472656,46.815982818603516,105.05307006835938,258.7158203125,83.70793914794922,29.988040924072266,24.661348342895508,36.34615707397461
2020-06-16,85.22342681884766,80.48650360107422,111.01072692871094,188.49378967285156,97.90535736083984,197.77000427246094,22.4392032623291,75.8781967163086,45.25752639770508,44.097660064697266,116.22362518310547,63.833152770996094,172.36178588867188,39.007755279541016,55.97434997558594,80.11978912353516,121.41698455810547,36.194644927978516,59.92487335205078,49.605613708496094,23.754926681518555,183.02976989746094,124.30492401123047,14.0738525390625,93.42243194580078,53.843162536621094,147.26806640625,122.9902114868164,87.11463165283203,39.334373474121094,153.29319763183594,80.21918487548828,31.890546798706055,76.512939453125,108.6055679321289,40.36855697631836,184.38552856445312,110.26998138427734,23.549793243408203,101.52253723144531,92.4756851196289,79.10003662109375,48.223533630371094,106.6428451538086,264.7888488769531,83.8584976196289,30.421072006225586,24.932350158691406,36.82941818237305
2020-06-17,85.10481262207031,81.52690124511719,110.865966796875,187.7460479736328,96.36658477783203,192.5399932861328,21.74341583251953,75.97640991210938,45.170265197753906,42.923343658447266,114.54426574707031,64.07623291015625,175.0620880126953,38.74760055541992,55.20697021484375,80.02970123291016,121.5245132446289,35.08022689819336,59.2342414855957,49.6136360168457,23.402807235717773,180.0606231689453,123.66300964355469,13.72301959991455,92.67594146728516,53.92339324951172,149.9022216796875,122.6156234741211,84.91243743896484,39.17457962036133,149.7911834716797,80.16040802001953,31.173450469970703,77.03047943115234,108.29951477050781,39.703514099121094,185.02377319335938,110.34535217285156,23.662609100341797,101.35063934326172,89.94937133789062,79.47116088867188,46.47476577758789,106.73588562011719,264.42730712890625,84.77766418457031,29.779247283935547,23.996952056884766,36.63856887817383
2020-06-18,85.13871002197266,80.9708251953125,111.11930847167969,191.36024475097656,94.69808197021484,192.2899932861328,21.778202056884766,74.86041259765625,44.392967224121094,42.955726623535156,113.97259521484375,63.902610778808594,177.20083618164062,38.46226119995117,54.14851760864258,78.84963989257812,123.97007751464844,35.274024963378906,59.45909118652344,49.58152389526367,23.488689422607422,178.00843811035156,123.57131958007812,13.804609298706055,92.68339538574219,53.55790710449219,148.2156524658203,122.0962905883789,84.4515151977539,39.5193977355957,150.82115173339844,79.27886199951172,31.412477493286133,76.91546630859375,108.29269409179688,39.55387496948242,187.00502014160156,111.19957733154297,23.436983108520508,102.5108642578125,89.08850860595703,79.45346069335938,47.71169662475586,106.53292846679688,263.4151611328125,85.24517822265625,29.825654983520508,24.084369659423828,36.31845474243164
2020-06-19,84.65217590332031,81.32958221435547,108.73967742919922,198.3227081298828,93.56718444824219,187.02000427246094,21.960845947265625,75.43180084228516,44.74196243286133,42.858551025390625,113.8564682006836,63.68558120727539,179.71937561035156,38.034236907958984,54.66893005371094,80.4801254272461,123.28925323486328,34.64413833618164,62.2136116027832,49.43703079223633,22.930461883544922,176.07850646972656,121.18708038330078,13.690384864807129,91.42183685302734,53.1478271484375,148.5547637939453,122.453857421875,83.48699188232422,38.7036018371582,149.7630615234375,78.84228515625,30.761308670043945,76.1723403930664,107.57171630859375,39.01351547241211,185.89053344726562,109.94335174560547,23.56389808654785,102.20146942138672,87.07714080810547,78.47268676757812,46.28709030151367,105.61117553710938,264.3318786621094,85.39571380615234,30.057636260986328,24.128080368041992,36.89097595214844
2020-06-22,86.86698150634766,81.02462768554688,109.02919006347656,194.5756378173828,92.1767349243164,188.52000427246094,21.412912368774414,74.9586181640625,45.65409469604492,42.16206359863281,112.36468505859375,63.459869384765625,179.10833740234375,37.89997482299805,54.1926155090332,78.44425964355469,123.06531524658203,34.11115264892578,60.768089294433594,49.38884735107422,22.793052673339844,177.64163208007812,120.82865142822266,13.812765121459961,90.37677001953125,53.56681442260742,149.25892639160156,122.07925415039062,82.58222198486328,38.46811294555664,150.24063110351562,78.35533905029297,30.439849853515625,76.39349365234375,106.57864379882812,39.38759994506836,191.05340576171875,109.7507553100586,23.345321655273438,101.19595336914062,87.3426284790039,78.75545501708984,46.91835403442383,105.8987045288086,265.6297302246094,84.70637512207031,29.555002212524414,23.909534454345703,37.45427322387695
2020-06-23,88.72114562988281,81.88565826416016,111.51741790771484,195.87171936035156,92.15821838378906,187.8800048828125,21.56077003479004,74.53902435302734,46.30448913574219,42.88284683227539,112.77557373046875,63.303611755371094,176.20164489746094,38.16012954711914,54.52780532836914,78.48027801513672,124.57919311523438,33.917335510253906,60.270198822021484,48.97139358520508,23.08504867553711,178.8292999267578,120.76193237304688,13.878039360046387,89.1375961303711,53.41526412963867,150.02394104003906,121.62801361083984,83.58939361572266,38.38401412963867,149.20127868652344,78.40573120117188,30.5305118560791,76.26524353027344,107.36084747314453,39.81156921386719,192.32981872558594,110.0103988647461,23.1055908203125,101.17879486083984,86.67485046386719,78.94979858398438,49.71638870239258,107.07414245605469,270.104248046875,87.64612579345703,29.848838806152344,23.804622650146484,37.26650619506836
